item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies
book,"Falar Com Deus - Volume 4","Francisco Fernández-Carvajal",Francisco,Fernández-Carvajal,9788574650968,857465096X,,"Quadrante Editora",2005-01-01,"Falar com Deus",categoria.meditação,,,,,,,,,,,,,,,,2018-07-20,1
book,"Falar Com Deus - Volume 7","Francisco Fernández-Carvajal",Francisco,Fernández-Carvajal,9788574650944,8574650943,,,2005-01-01,"Falar com Deus",categoria.meditação,,,,,,,,,,,,,,,,2018-07-20,1
book,"Missal Dominical da Assembleia Cristã","Vários Autores",Vários,Autores,9788534903707,8534903700,,PAULUS,1995-01-01,,,,,,,,,,,,,,,,,,2018-07-20,1
book,"Missal Cotidiano da Assembleia Cristã",,,,9788534910644,,,Paulus,1985-01-01,,,,,2078,,,,,,,,,,,,,2018-07-20,1
book,"Tratado da Verdadeira Devoção à Santíssima Virgem","São Luís Maria Grignion de Montfort",São,Montfort,9788532651440,8532651445,"Nesta obra, no conhecido formato de bolso, mas agora sem orelhas, São Luís Maria Grignion de Montfort apresenta seu método de consagração a Jesus Cristo pelas mãos da Virgem Maria. Este pequeno livro é um devocionário mariano e seu objetivo é anunciar às pessoas, em particular às famílias, e todas as nações que o caminho para encontrar Jesus Cristo passa por depositar a confiança no regaço acolhedor da Virgem Maria. Aqui se encontram pensamentos, orações e meditações sobre Nossa Senhora.",Vozes,2016-01-01,,,,,,,,,,,,,,," Completed"," "," 2020-11-09",2018-07-20,1
book,"Jesus de Nazaré - A Infância","Joseph Ratzinger",Joseph,Ratzinger,9788542208375,8542208374,"Não temais! Eis que eu vos anuncio uma grande alegria, que será para todo o povo: Nasceu-vos hoje um salvador, que é Cristo Senhor, na cidade de Davi. Isto vos servirá de sinal: encontrareis um recém-nascido envolto em faixas deitado numa manjedoura.- Lucas 2, 10-12   Finalmente posso entregar nas mãos do leitor o pequeno livro, há muito prometido, sobre as narrativas da infância de Jesus. Não se trata de um terceiro volume, mas de uma espécie de pequena ""antecâmara"" dos dois volumes anteriores sobre a figura e a mensagem de Jesus de Nazaré. Nele procurei interpretar, em diálogo com exegetas do passado e do presente, aquilo que Mateus e Lucas narram sobre a infância de Jesus, no início dos seus Evangelhos. É minha convicção que uma interpretação correta requer dois passos. Por um lado, é preciso interrogar?se sobre o que pretendiam dizer com os seus textos os respectivos autores, na sua época histórica: é a componente histórica da exegese. [...] A segunda pergunta que o exegeta autêntico deve fazer?se é: o que foi dito é verdade? Tem a ver comigo? Se for assim, de que modo me diz respeito? No caso de um texto como o da Bíblia, cujo autor último e mais profundo- segundo a nossa fé - é o próprio Deus, a questão da relação do passado com o presente faz parte, inevitavelmente, da própria interpretação. [...]Preocupei?me em dialogar, nesse sentido, com os textos. Entretanto, estou bem ciente de que esse diálogo, na ligação entre passado, presente e futuro, não poderá jamais dar?se por completo e de que toda interpretação fica aquém da grandeza do texto bíblico. Espero que este pequeno livro, apesar dos seus limites, possa ajudar muitas pessoas no seu caminho para Jesus e com Jesus. - Bento XVI",Planeta,2017-01-01,"Jesus de Nazaré",,,,,,,,,,,,,," Completed"," 2021-11-25"," 2021-12-07",2018-07-20,1
book,"Bíblia de Jerusalém","Jose Bortolini",Jose,Bortolini,9788534920001,8534920001,"A Bíblia de Jerusalém apresenta um TEXTO com muitas revisões e novas opções textuais. Certos livros (Miquéias, Eclesiástico, p. ex.) foram substancialmente remodelados. No Antigo Testamento há considerável volta ao texto hebraico, deixando de lado versões preferidas anteriormente. Certos textos do Novo Testamento também trazem uma tradução inteiramente nova (cf. p. ex. Filipenses 2,6-11). Como consequência das novas opções de tradução do texto, as NOTAS também foram modificadas, ampliadas ou substituídas. O volume de notas aumentou consideravelmente. É visível a incorporação das novas pesquisas e estudos posteriores à edição do texto francês em 1973. As INTRODUÇÕES apresentam novas opções que também estão refletidas nas notas. Isso se verifica principalmente na visão da formação do Pentateuco. O evangelho de João, p. ex., mostra uma virada hermenêutica total, que se pode constatar tanto na introdução como nas notas. Vários livros e conjuntos literários receberam novas introduções, completamente diferentes das anteriores (p. ex.: Cântico, Sinóticos, João, Hebreus etc.).",PAULUS,2002-01-01,,bíblia,,,,,,,,,,,,," Completed"," "," ",2018-07-20,1
book,"365 Dias com a Ternura de Paulo","Jacinta Cericato (org.)",Jacinta,Cericato,9788535620641,8535620648,,Paulinas,,,categoria.meditação,,,,,,,,,,,,,,,,2018-07-20,1
book,"Escritos Joaninos E Cartas Católicas","Josep-Oriol Tuñí, Xavier Alegre",Josep-Oriol,Tuñí,9788527604291,8527604299,"Introdução ao Estudo da Bíblia - Volume 8","Ave Maria",2007-01-01,"Introdução ao Estudo da Bíblia",assunto.bíblia,,,,,,,,,,,,,,,,2018-07-20,1
book,"Cartas De Paulo, Tiago, Pedro E Judas, As","M. Carrez, P. Dornier, M. Dumais, M. Trimaille",M.,Carrez,9788534906272,8534906270,"As cartas apostólicas testemunham a expansão missionária do cristianismo do primeiro século e da fé viva da igreja nascente. Elas fornecem informações preciosas sobre a vida os costumes e a religião da época e de como o cristianismo se confrontou com as diversas situações dos diferentes povos. As cartas comentadas neste volume foram reunidas pelo seu gênero literário. Seu conjunto compreende a maioria dos escritos apostólicos.",PAULUS,1997-01-01,,assunto.bíblia,,,,,,,,,,,,,,,,2018-07-20,1
